trial,from_frame0,to_frame0,max_joint,max_joint_step_m,com_step_m,limb_scale_step_fraction,reason
S50A10T01,4,5,foot_right,0.28018950860841507,0.0043752181151367996,0.010894124492292717,joint step >0.2m and/or scale change >3.0%; review only
S50A10T01,10,11,foot_right,0.34644011211546544,0.059446282674773886,0.03629607636099332,joint step >0.2m and/or scale change >3.0%; review only
S50A10T01,12,13,foot_right,0.20763119459249404,0.034308951523443626,0.009516774880643808,joint step >0.2m and/or scale change >3.0%; review only
S50A10T01,19,20,handtip_left,0.2236354421722022,0.02357012354320262,0.01039283968730624,joint step >0.2m and/or scale change >3.0%; review only
S50A10T01,29,30,handtip_left,0.28359918142310936,0.011466764303468189,0.005700908247788426,joint step >0.2m and/or scale change >3.0%; review only
S50A12T04,1,2,wrist_right,0.13518024843701842,0.015171287406760428,0.03846621608497746,joint step >0.2m and/or scale change >3.0%; review only
S50A12T04,5,6,foot_right,0.2011093979159308,0.02859345859735283,0.05917168920751821,joint step >0.2m and/or scale change >3.0%; review only
S50A12T04,6,7,foot_right,0.19143582413051108,0.01914597356888028,0.05280287336450249,joint step >0.2m and/or scale change >3.0%; review only
S50A10T02,6,7,foot_left,0.15576592802344152,0.02050187702156879,0.033997591596030476,joint step >0.2m and/or scale change >3.0%; review only
S50A10T02,7,8,foot_left,0.17285382991593495,0.013733957654569173,0.03983431414243835,joint step >0.2m and/or scale change >3.0%; review only
S50A10T02,12,13,foot_left,0.1258354634651842,0.017704168393899697,0.04381836334871674,joint step >0.2m and/or scale change >3.0%; review only
S50A10T03,24,25,handtip_left,0.5221767758583502,0.010390749638172448,0.0005708108450829575,joint step >0.2m and/or scale change >3.0%; review only
S50A10T03,43,44,handtip_left,0.5348789246759921,0.014344659615515615,0.0033646092728790416,joint step >0.2m and/or scale change >3.0%; review only
