trial,from_frame0,to_frame0,max_joint,max_joint_step_m,com_step_m,limb_scale_step_fraction,reason
S06A08T04,149,150,foot_left,0.9801454325851083,0.19083301492315827,0.18633108869391046,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,150,151,wrist_left,0.09965237543102223,0.024607250068194364,0.039782238243772826,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,151,152,hand_left,0.10068992126740028,0.007843075438304306,0.03527825280635116,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,154,155,handtip_left,0.5658690797866021,0.08032724494768077,0.093668815667353,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,155,156,handtip_right,0.7352936462122557,0.10192044186625053,0.09907525241980979,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,157,158,thumb_right,0.24387821738695772,0.010661037170220277,0.02224354150597163,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,158,159,foot_left,0.9828055850127165,0.21729733332009735,0.18991663014489488,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,161,162,foot_left,1.035929915188795,0.2384142246452806,0.15107844614721994,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,162,163,handtip_left,0.5672856592525054,0.05081800885824719,0.07520457410566377,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,163,164,handtip_right,0.923114381157422,0.06231736381095079,0.06696798735583034,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,164,165,hand_left,0.3737711939212987,0.011494644542831467,0.013919925654352811,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,165,166,handtip_left,0.7921351945828321,0.059159158267435764,0.04177952970054274,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,167,168,handtip_right,0.3600855558492969,0.005618176787687855,0.0130111596065352,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,168,169,handtip_left,0.3152515761725349,0.011290639902605723,0.00013407124574125404,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,170,171,handtip_right,0.3113925487429672,0.01660230994387589,0.034061738434727915,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,172,173,foot_right,0.23212933982794456,0.018669080903317835,0.0043183197123193755,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,181,182,hand_left,0.8086061795251769,0.1154566504059456,0.12099594507704495,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,183,184,hand_left,0.5777660627488839,0.16054622284332126,0.011988719352228144,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,184,185,handtip_left,0.6071938876802553,0.1468903435301134,0.07653008265640475,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,185,186,handtip_left,0.644703457102994,0.06536264438290666,0.1432505620099207,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,186,187,elbow_right,0.5080860815461866,0.08765389801351714,0.1350506591082821,joint step >0.2m and/or scale change >3.0%; review only
S06A08T04,187,188,hand_left,0.2979881587553731,0.0414163768852418,0.017634642157215528,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,20,21,handtip_right,0.2138675690590477,0.03505421085003629,0.0006895658947922098,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,23,24,handtip_right,0.2772549213376175,0.045845798282602476,0.011913886365084338,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,24,25,handtip_right,0.22701518191265493,0.033641332511969636,0.001187554786507629,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,44,45,handtip_right,0.2910086350412284,0.010176569028024628,0.0019736846044039226,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,106,107,foot_right,0.2473079751225126,0.037675699339913084,0.002751960655232584,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,108,109,foot_right,0.21853377150817554,0.03511728071502303,0.0038264048378742125,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,110,111,handtip_left,0.2191965162888315,0.03544273233235357,0.013473117449085978,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,114,115,handtip_left,0.08518716924146766,0.04536047025790635,0.03181063362394126,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,141,142,foot_right,0.2678268974202114,0.039309724889906666,0.003193740978569779,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,154,155,foot_left,0.23026722429585306,0.02791499808299815,0.0006843715094733973,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,161,162,foot_left,0.2193414251463106,0.014792258479419838,0.0006966796660650325,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,164,165,foot_left,0.24264987218123008,0.02577717674274294,0.017608786063034162,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,165,166,ankle_left,0.08047354266634245,0.00933820368579656,0.03000750928909346,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,167,168,foot_left,0.32640846203144674,0.05762508446041354,0.018321470362677637,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,177,178,nose,0.084699243066872,0.022747796606225838,0.03293593249619998,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,179,180,handtip_right,0.21895434451623066,0.013394154379657016,0.00024834987808704543,joint step >0.2m and/or scale change >3.0%; review only
S06A08T05,180,181,handtip_right,0.07829897765572623,0.02606040682789883,0.030076902450768345,joint step >0.2m and/or scale change >3.0%; review only
